               Related              Related ['P5,1288 1458 1512 1506']
                    to                   to ['P5,1541 1466 1596 1506']
                  that                 that ['P5,1626 1458 1736 1506']
                  last                 last ['P5,1765 1458 1867 1506']
X1          observation          observa-tio ['P5,1895 1458 2148 1506', 'P5,12 1534 140 1590']
X1                    ,                   n, ['P5,1895 1458 2148 1506', 'P5,12 1534 140 1590']
                Martin               Martin ['P5,173 1534 372 1582']
              provides             provides ['P5,401 1534 652 1596']
                     a                    a ['P5,685 1549 716 1582']
                  good                 good ['P5,745 1534 891 1596']
X2            de?nition           definition ['P5,921 1534 1202 1582']
                    of                   of ['P5,1232 1534 1296 1582']
                   the                  the ['P5,1320 1534 1408 1582']
          Dryolestidae         Dryolestidae ['P5,1438 1534 1817 1596']
                    as                   as ['P5,1848 1549 1904 1582']
                  well                 well ['P5,1936 1534 2060 1582']
                    as                   as ['P5,2092 1549 2148 1582']
                   the                  the ['P5,12 1610 100 1658']
             practical            practical ['P5,125 1610 378 1672']
                 means                means ['P5,404 1625 589 1658']
                    by                   by ['P5,615 1610 687 1672']
                 which                which ['P5,714 1610 892 1658']
                   its                  its ['P5,918 1610 984 1658']
                 lower                lower ['P5,1011 1610 1178 1658']
                   and                  and ['P5,1203 1610 1307 1658']
                 upper                upper ['P5,1331 1625 1499 1672']
                molars               molars ['P5,1523 1610 1720 1658']
                   can                  can ['P5,1747 1625 1847 1658']
                    be                   be ['P5,1871 1610 1938 1658']
X1        distinguished       distin-guished ['P5,1964 1610 2148 1658', 'P5,13 1686 240 1748']
                  from                 from ['P5,267 1686 409 1734']
                 those                those ['P5,435 1686 588 1734']
                    of                   of ['P5,617 1686 680 1734']
          paurodontids         paurodontids ['P5,701 1686 1100 1748']
                     .                    . ['P5,701 1686 1100 1748']
                Martin               Martin ['P5,85 1762 330 1810']
X2                   ?s                   's ['P5,85 1762 330 1810']
                 Table                Table ['P5,362 1762 522 1810']
                     1                    1 ['P5,561 1763 582 1809']
                 gives                gives ['P5,620 1762 772 1824']
                     a                    a ['P5,806 1777 836 1810']
                useful               useful ['P5,865 1762 1044 1810']
               listing              listing ['P5,1075 1762 1257 1824']
                    of                   of ['P5,1289 1762 1353 1810']
             presently            presently ['P5,1377 1762 1646 1824']
                 valid                valid ['P5,1677 1762 1824 1810']
            dryolestid           dryolestid ['P5,1854 1762 2151 1824']
               species              species ['P5,14 1838 239 1900']
                     ,                    , ['P5,14 1838 239 1900']
                 their                their ['P5,273 1838 408 1886']
            synonymies           synonymies ['P5,441 1838 805 1900']
                     ,                    , ['P5,441 1838 805 1900']
              locality             locality ['P5,839 1838 1058 1900']
           occurrences          occurrences ['P5,1091 1853 1457 1894']
                     ,                    , ['P5,1091 1853 1457 1894']
                   and                  and ['P5,1492 1838 1595 1886']
                 their                their ['P5,1626 1838 1761 1886']
                 known                known ['P5,1789 1838 1989 1886']
X1             geologic            geo-logic ['P5,2021 1853 2147 1900', 'P5,12 1914 156 1976']
                  ages                 ages ['P5,185 1929 327 1976']
                     .                    . ['P5,185 1929 327 1976']
          Procedurally         Procedurally ['P5,357 1914 746 1975']
                     ,                    , ['P5,357 1914 746 1975']
                   the                  the ['P5,774 1914 862 1962']
                 table                table ['P5,888 1914 1029 1962']
                    is                   is ['P5,1055 1914 1101 1962']
X2                ?awed               flawed ['P5,1129 1914 1323 1962']
                    in                   in ['P5,1348 1914 1404 1961']
                citing               citing ['P5,1430 1914 1594 1976']
                   the                  the ['P5,1620 1914 1708 1962']
                 names                names ['P5,1733 1929 1918 1962']
                    of                   of ['P5,1945 1914 2009 1962']
                   new                  new ['P5,2028 1929 2148 1962']
                  taxa                 taxa ['P5,12 1997 134 2037']
                    on                   on ['P5,165 2005 236 2037']
                     a                    a ['P5,269 2005 299 2037']
                  page                 page ['P5,328 2005 466 2051']
                    in                   in ['P5,498 1990 553 2037']
               advance              advance ['P5,586 1990 824 2037']
                    of                   of ['P5,856 1990 920 2037']
                 their                their ['P5,946 1990 1081 2037']
                formal               formal ['P5,1111 1990 1305 2037']
          introduction         introduction ['P5,1337 1990 1696 2037']
                    to                   to ['P5,1726 1997 1780 2037']
                   the                  the ['P5,1812 1990 1900 2037']
X1      paleontological     paleon-tological ['P5,1930 1990 2148 2051', 'P5,12 2066 268 2127']
            literature           literature ['P5,291 2066 570 2113']
                     .                    . ['P5,291 2066 570 2113']
                  That                 That ['P5,597 2066 731 2113']
                    is                   is ['P5,752 2066 798 2113']
                  only                 only ['P5,823 2066 950 2127']
                     a                    a ['P5,975 2081 1005 2113']
                 minor                minor ['P5,1026 2066 1202 2113']
             criticism            criticism ['P5,1224 2066 1495 2122']
                     ,                    , ['P5,1224 2066 1495 2122']
               however              however ['P5,1519 2066 1782 2122']
                     ,                    , ['P5,1519 2066 1782 2122']
                   and                  and ['P5,1807 2066 1911 2113']
                    in                   in ['P5,1932 2066 1987 2113']
                  most                 most ['P5,2008 2073 2151 2113']
                 other                other ['P5,13 2142 163 2189']
              respects             respects ['P5,191 2149 426 2203']
                  this                 this ['P5,457 2142 560 2189']
             monograph            monograph ['P5,592 2142 926 2203']
                 could                could ['P5,957 2142 1119 2189']
                 serve                serve ['P5,1151 2157 1305 2189']
                    as                   as ['P5,1337 2157 1393 2189']
                     a                    a ['P5,1427 2157 1457 2189']
                 model                model ['P5,1486 2142 1668 2189']
                   for                  for ['P5,1699 2142 1784 2189']
                   the                  the ['P5,1812 2142 1900 2189']
                manner               manner ['P5,1930 2157 2151 2189']
                    in                   in ['P5,12 2219 67 2265']
                 which                which ['P5,106 2219 284 2266']
              detailed             detailed ['P5,324 2219 555 2266']
           descriptive          descriptive ['P5,594 2218 915 2280']
          paleontology         paleontology ['P5,952 2219 1336 2280']
                should               should ['P5,1377 2219 1570 2266']
                    be                   be ['P5,1607 2219 1675 2266']
             presented            presented ['P5,1712 2219 2009 2280']
                     .                    . ['P5,1712 2219 2009 2280']
                   For                  For ['P5,2048 2220 2151 2266']
               example              example ['P5,12 2294 276 2356']
                     ,                    , ['P5,12 2294 276 2356']
                Martin               Martin ['P5,299 2294 499 2342']
                 lists                lists ['P5,520 2294 635 2342']
                   all                  all ['P5,659 2294 729 2342']
             specimens            specimens ['P5,752 2294 1054 2356']
               studied              studied ['P5,1078 2294 1288 2342']
                 along                along ['P5,1309 2294 1469 2356']
                  with                 with ['P5,1491 2294 1620 2342']
                 brief                brief ['P5,1639 2294 1782 2342']
          descriptions         descriptions ['P5,1796 2294 2149 2356']
                    of                   of ['P5,13 2370 76 2418']
             materials            materials ['P5,116 2370 383 2418']
           represented          represented ['P5,429 2370 768 2432']
                    by                   by ['P5,811 2370 883 2431']
                  each                 each ['P5,929 2370 1062 2418']
              specimen             specimen ['P5,1109 2370 1383 2431']
                number               number ['P5,1427 2370 1659 2418']
